name,Food Group,Fat (g),Protein (g),Carbohydrate (g),Serving Weight 1 (g)
Pasta Mix Italian Lasagna Unprepared,Prepared Meals,1.97,10.9,73.77,141.0
Yellow Rice With Seasoning Dry Packet Mix Unprepared,Prepared Meals,1.75,7.02,74.68,57.0
Pizza Rolls Frozen Unprepared,Prepared Meals,9.98,8.73,50.72,80.0
Pasta Mix Italian Four Cheese Lasagna Unprepared,Prepared Meals,2.7,12.53,70.26,117.0
Spanish Rice Mix Dry Mix Unprepared,Prepared Meals,1.62,10.62,76.45,70.0
Lasagna Cheese Frozen Unprepared,Prepared Meals,4.22,5.06,21.61,237.0
Chicken Thighs Frozen Breaded Reheated,Prepared Meals,22.45,18.66,14.23,133.0
Turnover Meat- And Cheese-Filled Tomato-Based Sauce Reduced Fat Frozen,Prepared Meals,5.51,9.45,31.89,127.0
Turnover Filled With Egg Meat And Cheese Frozen,Prepared Meals,12.6,7.87,20.67,127.0
Rice Mix White And Wild Flavored Unprepared,Prepared Meals,2.57,3.49,26.28,57.0
Salisbury Steak With Gravy Frozen,Prepared Meals,10.47,6.98,6.78,63.0
Blackberries Wild Raw (Alaska Native),American Indian,1.07,0.84,9.84,157.0
Cattail Narrow Leaf Shoots (Northern Plains Indians),American Indian,0.0,1.18,5.14,19.0
Lambsquarters Raw (Northern Plains Indians),American Indian,0.28,4.21,6.96,0.9
Prairie Turnips Boiled (Northern Plains Indians),American Indian,0.32,1.64,29.99,14.0
Raspberries Wild (Northern Plains Indians),American Indian,0.28,1.12,13.85,130.0
Rose Hips,American Indian,0.34,1.6,38.22,127.0
Chokecherries Raw Pitted (Northern Plains Indians),American Indian,1.69,3.04,33.62,154.0
Piki Bread Made From Blue Cornmeal (Hopi),American Indian,7.16,9.06,72.22,28.0
Wocas Tuber Cooked Oregon Yellow Pond Lily (Klamath),American Indian,0.35,0.69,7.06,28.4
Stew Pinto Bean And Hominy Badufsuki (Hopi),American Indian,0.54,1.42,5.38,227.0
Tamales Masa And Pork Filling (Hopi),American Indian,4.7,13.19,18.28,113.0
Applebees Double Crunch Shrimp,Restaurant Foods,18.9,12.31,25.96,206.0
Applebees French Fries,Restaurant Foods,13.17,3.31,39.5,164.0
Applebees Kraft Macaroni & Cheese From Kids Menu,Restaurant Foods,4.34,5.01,21.08,124.0
Applebees Mozzarella Sticks,Restaurant Foods,18.37,14.87,22.87,32.0
Applebees Chicken Tenders From Kids Menu,Restaurant Foods,16.15,19.25,18.36,35.0
TGI Fridays Chicken Fingers From Kids Menu,Restaurant Foods,20.78,18.11,17.72,41.0
TGI Fridays Classic Sirloin Steak (10 Oz),Restaurant Foods,7.83,31.02,0.47,176.0
Restaurant Family Style Fried Mozzarella Sticks,Restaurant Foods,18.33,14.75,25.14,245.0
Restaurant Family Style Sirloin Steak,Restaurant Foods,8.48,29.8,0.0,166.0
Applebees Fish Hand Battered,Restaurant Foods,9.14,13.23,16.65,250.0
Applebees Chili,Restaurant Foods,9.79,12.56,4.57,136.0
TGI Fridays Chicken Fingers,Restaurant Foods,20.31,18.68,16.84,225.0
Applebees Coleslaw,Restaurant Foods,7.09,0.79,13.17,76.0
Cracker Barrel Onion Rings Thick-Cut,Restaurant Foods,16.0,4.78,40.95,261.0
Dennys Chicken Strips,Restaurant Foods,14.5,19.17,22.03,194.0
Dennys Coleslaw,Restaurant Foods,15.03,0.97,10.88,91.0
Dennys Fish Fillet Battered Or Breaded Fried,Restaurant Foods,12.16,13.75,17.41,201.0
Dennys Hash Browns,Restaurant Foods,8.99,2.49,26.59,124.0
Restaurant Family Style Coleslaw,Restaurant Foods,11.78,0.88,12.35,108.0
