name,Food Group,Fat (g),Protein (g),Carbohydrate (g),Serving Weight 1 (g)
Cookies Sugar Commercially Prepared Regular (Includes Vanilla),Baked Foods,19.55,5.35,67.34,28.4
Cookies Sugar Refrigerated Dough,Baked Foods,19.48,4.0,61.22,33.0
Cookies Vanilla Wafers Lower Fat,Baked Foods,15.2,5.0,73.6,28.4
Cookies Vanilla Wafers Higher Fat,Baked Foods,16.41,4.9,72.6,30.0
Crackers Cheese Regular,Baked Foods,22.74,10.93,59.42,14.2
Crackers Cheese Sandwich-Type With Peanut Butter Filling,Baked Foods,25.12,12.41,56.74,14.2
Melba Toast,Baked Foods,3.2,12.1,76.6,14.2
Pumpernickel Melba Rye Toast,Baked Foods,3.4,11.6,77.3,14.2
Wheat Melba Toast Crackers,Baked Foods,2.3,12.9,76.4,14.2
Crackers Milk,Baked Foods,13.77,7.6,71.73,14.2
Crackers Rusk Toast,Baked Foods,7.2,13.5,72.3,14.2
Crackers Standard Snack-Type Regular,Baked Foods,26.43,6.64,61.3,16.0
Crackers Standard Snack-Type Sandwich With Cheese Filling,Baked Foods,21.1,9.3,61.7,14.2
Crackers Standard Snack-Type Sandwich With Peanut Butter Filling,Baked Foods,24.54,11.47,58.38,14.2
Crackers Wheat Regular,Baked Foods,16.4,7.3,70.73,34.0
Cream Puff Shell Prepared From Recipe,Baked Foods,25.9,9.0,22.8,28.4
Butter Croissants,Baked Foods,21.0,8.2,45.8,28.4
Croissants Apple,Baked Foods,8.7,7.4,37.1,28.4
Cheese Croissants,Baked Foods,20.9,9.2,47.0,28.4
Doughnuts Cake-Type Plain (Includes Unsugared Old-Fashioned),Baked Foods,24.93,5.31,47.06,40.0
Doughnuts Cake-Type Plain Chocolate-Coated Or Frosted,Baked Foods,25.25,4.93,51.33,28.4
Doughnuts Cake-Type Plain Sugared Or Glazed,Baked Foods,22.9,5.2,50.8,28.4
Doughnuts Cake-Type Chocolate Sugared Or Glazed,Baked Foods,19.9,4.5,57.4,28.4
English Muffins Plain Enriched With Ca Prop (Includes Sourdough),Baked Foods,1.69,8.87,44.17,28.4
English Muffins Plain Toasted Enriched With Calcium Propionate (Includes Sourdough),Baked Foods,2.02,10.32,52.65,28.4
English Muffins Mixed-Grain (Includes Granola),Baked Foods,1.8,9.1,46.3,28.4
English Muffins Raisin-Cinnamon (Includes Apple-Cinnamon),Baked Foods,1.8,7.91,48.1,28.4
French Toast Prepared From Recipe Made With Low Fat (2%) Milk,Baked Foods,10.8,7.7,25.0,28.4
Hush Puppies Prepared From Recipe,Baked Foods,13.5,7.7,46.0,28.4
Ice Cream Cones Cake Or Wafer-Type,Baked Foods,6.9,8.1,79.0,28.4
Ice Cream Cones Sugar Rolled-Type,Baked Foods,3.8,7.9,84.1,28.4
Corn Muffins,Baked Foods,8.4,5.9,51.0,28.4
Muffins Corn Dry Mix Prepared,Baked Foods,10.2,7.4,49.1,28.4
Muffins Corn Toaster-Type,Baked Foods,11.3,5.3,57.9,28.4
Muffins Corn Prepared From Recipe Made With Low Fat (2%) Milk,Baked Foods,12.3,7.1,44.2,28.4
Pancakes Plain Dry Mix Complete Prepared,Baked Foods,2.5,5.2,36.7,28.4
Pancakes Plain Dry Mix Incomplete (Includes Buttermilk),Baked Foods,1.7,10.0,73.6,28.4
Pancakes Plain Dry Mix Incomplete Prepared,Baked Foods,7.7,7.8,28.9,28.4
Pancakes Plain Prepared From Recipe,Baked Foods,9.7,6.4,28.3,28.4
Pancakes Whole-Wheat Dry Mix Incomplete Prepared,Baked Foods,6.5,8.5,29.4,28.4
Pie Apple Commercially Prepared Enriched Flour,Baked Foods,11.0,1.9,34.0,28.4
Pie Apple Prepared From Recipe,Baked Foods,12.5,2.4,37.1,28.4
Pie Banana Cream Prepared From Mix No-Bake Type,Baked Foods,12.9,3.4,31.6,28.4
Pie Chocolate Creme Commercially Prepared,Baked Foods,22.41,4.15,38.44,120.0
Pie Chocolate Mousse Prepared From Mix No-Bake Type,Baked Foods,15.4,3.5,29.6,28.4
Pie Coconut Creme Commercially Prepared,Baked Foods,16.6,2.1,37.3,28.4
Pie Coconut Cream Prepared From Mix No-Bake Type,Baked Foods,17.6,2.8,28.5,28.4
Pie Lemon Meringue Prepared From Recipe,Baked Foods,12.9,3.8,39.1,28.4
Pie Mince Prepared From Recipe,Baked Foods,10.8,2.6,48.0,28.4
Pie Peach,Baked Foods,10.0,1.9,32.9,28.4
Pie Pecan Commercially Prepared,Baked Foods,16.69,4.5,59.61,28.4
Pie Crust Standard-Type Dry Mix,Baked Foods,31.4,6.9,52.1,28.4
Pie Crust Standard-Type Dry Mix Prepared Baked,Baked Foods,30.4,6.7,50.4,20.0
Pie Crust Standard-Type Frozen Ready-To-Bake Enriched,Baked Foods,26.07,6.16,48.62,18.0
Pie Crust Standard-Type Frozen Ready-To-Bake Enriched Baked,Baked Foods,28.59,6.5,56.24,154.0
Pie Crust Standard-Type Prepared From Recipe Baked,Baked Foods,34.6,6.4,47.5,23.0
Rolls Dinner Egg,Baked Foods,6.4,9.5,52.0,28.4
Rolls Dinner Oat Bran,Baked Foods,4.6,9.5,40.2,28.4
Rolls Dinner Rye,Baked Foods,3.4,10.3,53.1,43.0
Rolls Dinner Wheat,Baked Foods,6.3,8.6,46.0,28.0
Rolls Hard (Includes Kaiser),Baked Foods,4.3,9.9,52.7,28.4
Apple Strudel,Baked Foods,11.2,3.3,41.1,28.4
Sweet Rolls Cheese,Baked Foods,18.3,7.1,43.7,28.4
Sweet Rolls Cinnamon Commercially Prepared With Raisins,Baked Foods,16.4,6.2,50.9,28.4
Toaster Pastries Fruit (Includes Apple Blueberry Cherry Strawberry),Baked Foods,9.95,4.2,70.32,28.4
Tortillas Ready-To-Bake Or -Fry Corn,Baked Foods,2.85,5.7,44.64,28.4
Tortillas Ready-To-Bake Or -Fry Flour Refrigerated,Baked Foods,7.99,8.2,49.38,48.0
Waffles Plain Frozen Ready-To-Heat,Baked Foods,9.7,6.47,42.98,28.4
Waffles Plain Prepared From Recipe,Baked Foods,14.1,7.9,32.9,28.4
Leavening Agents Baking Soda,Baked Foods,0.0,0.0,0.0,4.6
Leavening Agents Cream Of Tartar,Baked Foods,0.0,0.0,61.5,3.0
Leavening Agents Yeast Bakers Compressed,Baked Foods,1.9,8.4,18.1,17.0
Leavening Agents Yeast Bakers Active Dry,Baked Foods,7.61,40.44,41.22,4.0
Bread Rice Bran Toasted,Baked Foods,5.0,9.7,47.3,28.4
Muffins Blueberry Toaster-Type Toasted,Baked Foods,10.1,4.9,56.7,28.4
Muffins Wheat Bran Toaster-Type With Raisins Toasted,Baked Foods,9.4,5.5,55.5,28.4
Pancakes Buttermilk Prepared From Recipe,Baked Foods,9.3,6.8,28.7,28.4
Waffles Plain Frozen Ready -To-Heat Toasted,Baked Foods,9.61,7.19,49.29,28.4
Bagels Plain Enriched Without Calcium Propionate (Includes Onion Poppy Sesame),Baked Foods,1.6,10.5,53.4,28.4
Bagels Plain Unenriched With Calcium Propionate (Includes Onion Poppy Sesame),Baked Foods,1.6,10.5,53.4,28.4
Bagels Plain Unenriched Without Calcium Propionate(Includes Onion Poppy Sesame),Baked Foods,1.6,10.5,53.4,28.4
Coffeecake Cinnamon With Crumb Topping Commercially Prepared Unenriched,Baked Foods,23.3,6.8,46.7,28.4
Cake Pound Commercially Prepared Other Than All Butter Unenriched,Baked Foods,17.9,5.2,52.5,30.0
Cake Pudding-Type White Unenriched Dry Mix,Baked Foods,9.5,3.9,81.0,28.4
Cake Yellow Unenriched Dry Mix,Baked Foods,11.6,4.4,78.1,28.4
Crackers Saltines Low Salt (Includes Oyster Soda Soup),Baked Foods,8.85,9.5,74.34,14.2
Crackers Saltines Unsalted Tops (Includes Oyster Soda Soup),Baked Foods,11.8,9.2,71.5,14.2
Crackers Standard Snack-Type Regular Low Salt,Baked Foods,25.3,7.4,61.0,14.2
Crackers Wheat Low Salt,Baked Foods,20.6,8.6,64.9,14.2
Crackers Cheese Low Sodium,Baked Foods,25.3,10.1,58.2,14.2
Danish Pastry Raspberry Unenriched,Baked Foods,18.5,5.4,47.8,28.4
Doughnuts Yeast-Leavened Glazed Unenriched (Includes Honey Buns),Baked Foods,22.8,6.4,44.3,28.4
English Muffins Plain Enriched Without Calcium Propionate(Includes Sourdough),Baked Foods,1.8,7.7,46.0,28.4
Pie Fried Pies Lemon,Baked Foods,16.1,3.0,42.6,28.4
Pie Crust Standard-Type Frozen Ready-To-Bake Unenriched,Baked Foods,29.2,3.9,44.1,142.0
Popovers Dry Mix Unenriched,Baked Foods,4.3,10.4,71.0,28.4
Taco Shells Baked Without Added Salt,Baked Foods,22.6,7.2,62.4,28.4
Crackers Saltines Fat-Free Low-Sodium,Baked Foods,1.6,10.5,82.3,15.0
Breakfast Tart Low Fat,Baked Foods,5.99,3.99,76.8,52.0
Archway Home Style Cookies Sugar Free Oatmeal,Baked Foods,20.92,5.54,67.2,24.0
Archway Home Style Cookies Chocolate Chip Ice Box,Baked Foods,24.4,4.28,65.02,24.0
Archway Home Style Cookies Iced Oatmeal,Baked Foods,16.53,4.89,66.76,28.0
Archway Home Style Cookies Molasses,Baked Foods,12.06,4.25,69.41,26.0
Archway Home Style Cookies Oatmeal,Baked Foods,14.08,5.48,68.17,25.0
Archway Home Style Cookies Oatmeal Raisin,Baked Foods,12.08,5.17,69.27,26.0
Archway Home Style Cookies Strawberry Filled,Baked Foods,13.26,4.35,65.92,25.0
Archway Home Style Cookies Reduced Fat Ginger Snaps,Baked Foods,11.14,4.67,76.23,32.0
Artificial Blueberry Muffin Mix Dry,Baked Foods,8.7,4.7,77.45,31.0
Kraft Stove Top Stuffing Mix Chicken Flavor,Baked Foods,4.1,12.6,73.1,28.0
Martha White Foods Martha Whites Chewy Fudge Brownie Mix Dry,Baked Foods,6.16,4.42,83.58,28.0
Martha White Foods Martha Whites Buttermilk Biscuit Mix Dry,Baked Foods,13.23,7.81,59.41,41.0
Mission Foods Mission Flour Tortillas Soft Taco 8 Inch,Baked Foods,6.0,8.7,49.6,51.0
Nabisco Nabisco Grahams Crackers,Baked Foods,10.0,6.99,76.2,28.0
Nabisco Nabisco Oreo Crunchies Cookie Crumb Topping,Baked Foods,21.5,4.78,70.23,11.0
Tea Instant Lemon Unsweetened,Beverages,0.18,7.4,78.52,1.4
Tea Instant Lemon Sweetened Powder,Beverages,0.73,0.12,98.55,23.0
Tea Instant Lemon Sweetened Prepared With Water,Beverages,0.06,0.01,8.61,259.0
Tea Instant Sweetened With Sodium Saccharin Lemon-Flavored Powder,Beverages,0.6,3.3,85.4,1.6
Cocoa Mix With Aspartame Powder Prepared With Water,Beverages,0.23,1.21,5.61,32.1
Carbonated Cola Fast-Food Cola,Beverages,0.02,0.07,9.56,258.0
Fruit Punch Juice Drink Frozen Concentrate,Beverages,0.7,0.3,43.1,35.2
Fruit Punch Juice Drink Frozen Concentrate Prepared With Water,Beverages,0.17,0.07,11.4,29.3
Well Water,Beverages,0.0,0.0,0.0,29.6
Coffee Liqueur,Beverages,0.3,0.1,46.8,34.8
Coffee Cream Liqueur,Beverages,15.7,2.8,20.9,31.1
Carbonated Low Calorie Cola Or Pepper-Type With Aspartame Contains Caffeine,Beverages,0.03,0.11,0.29,29.6
Orange Drink Breakfast Type With Juice And Pulp Frozen Concentrate,Beverages,0.0,0.4,39.0,36.3
Orange Drink Breakfast Type With Juice And Pulp Frozen Concentrate Prepared With Water,Beverages,0.0,0.12,11.32,31.3
Shake Fast Food Strawberry,Beverages,2.8,3.4,18.9,23.5
Water Tap Municipal,Beverages,0.0,0.0,0.0,29.6
The Coca-Cola Company Dasani Water Bottled Non-Carbonated,Beverages,0.0,0.0,0.0,29.6
Orange Breakfast Drink Ready-To-Drink With Added Nutrients,Beverages,0.0,0.0,13.2,31.6
Water Bottled Non-Carbonated Calistoga,Beverages,0.0,0.0,0.0,29.6
Water Bottled Non-Carbonated Crystal Geyser,Beverages,0.0,0.0,0.0,29.6
Coca-Cola Powerade Lemon-Lime Flavored Ready-To-Drink,Beverages,0.05,0.0,7.84,30.5
Propel Zero Fruit-Flavored Non-Carbonated,Beverages,0.0,0.0,1.14,29.6
Arizona Tea Ready-To-Drink Lemon,Beverages,0.0,0.0,9.77,30.6
Lipton Brisk Tea Black Ready-To-Drink Lemon,Beverages,0.0,0.0,8.81,30.6
Dry Dessert Wine,Beverages,0.0,0.2,11.67,29.5
Carbonated Beverage Low Calorie Other Than Cola Or Pepper With Sodium Saccharin Without Caffeine,Beverages,0.0,0.0,0.1,29.6
Cocoa Mix Low Calorie Powder With Added Calcium Phosphorus Aspartame Without Added Sodium Or Vitamin A,Beverages,3.0,25.1,58.0,15.0
Fruit Punch-Flavor Drink Powder Without Added Sodium Prepared With Water,Beverages,0.01,0.0,9.47,32.7
Licuado Or Batido,Beverages,1.39,2.35,13.11,27.0
Fruit Smoothie Nfs,Beverages,1.08,2.37,11.65,27.0
Fruit Smoothie With Whole Fruit And Dairy,Beverages,1.08,2.37,11.65,27.0
Fruit Smoothie With Whole Fruit And Dairy Added Protein,Beverages,1.22,7.31,9.72,27.0
Pudding Bread,Sweets,4.74,5.47,23.52,200.0
Bread Pudding Made With Evaporated Milk And Rum,Sweets,9.31,8.23,39.38,175.0
Diplomat Pudding Puerto Rican Style,Sweets,8.54,6.83,42.98,256.0
Pudding Mexican Bread,Sweets,11.5,5.06,40.98,204.0
Pudding Mexican Bread Low Fat,Sweets,5.89,7.47,50.34,250.0
Rice Flour Cream Puerto Rican Style,Sweets,3.22,4.01,27.91,250.0
Custard Puerto Rican Style,Sweets,5.29,5.05,25.87,243.0
Custard,Sweets,3.45,5.05,10.96,244.0
Flan,Sweets,4.7,5.22,29.04,266.0
Pudding Rice Flour And Nuts,Sweets,3.12,3.49,25.3,250.0
Pudding Tapioca Made From Home Recipe Made With Milk,Sweets,3.21,4.69,17.05,205.0
Pudding Tapioca Made From Dry Mix Made With Milk,Sweets,1.93,3.08,19.87,165.0
Pudding Tapioca Chocolate Made With Milk,Sweets,2.29,3.59,21.32,165.0
Pudding Coconut,Sweets,3.43,2.89,17.37,255.0
Pudding Cornmeal Milk And Molasses,Sweets,3.57,4.1,21.18,237.0
Pudding Pumpkin,Sweets,3.07,1.21,16.85,265.0
Pumpkin Pudding Puerto Rican Style,Sweets,4.45,3.6,16.28,262.0
Fresh Corn Custard Puerto Rican Style,Sweets,24.96,3.89,46.25,280.0
Pudding Flavors Other Than Chocolate Prepared From Dry Mix Milk Added,Sweets,1.8,2.76,19.05,264.0
Pudding Chocolate Prepared From Dry Mix Milk Added,Sweets,2.04,3.13,18.98,261.0
Pudding Flavors Other Than Chocolate Prepared From Dry Mix Low Calorie Containing Artificial Sweetener Milk Added,Sweets,1.95,3.14,9.8,250.0
Pudding Chocolate Prepared From Dry Mix Low Calorie Containing Artificial Sweetener Milk Added,Sweets,2.09,3.6,10.26,250.0
Pudding Ready-To-Eat Chocolate And Non-Chocolate Flavors Combined,Sweets,4.19,1.77,22.8,267.0
Pudding With Fruit And Vanilla Wafers,Sweets,3.84,3.25,26.38,187.0
Mousse Chocolate,Sweets,14.97,4.31,16.24,170.0
Mousse Not Chocolate,Sweets,15.42,1.8,16.88,170.0
Coconut Custard Puerto Rican Style,Sweets,10.49,8.2,40.04,245.0
Barfi Or Burfi Indian Dessert Made From Milk And/or Cream And/or Ricotta Cheese,Sweets,11.66,6.9,39.08,44.0
Tiramisu,Baked Foods,24.26,5.91,29.61,174.0
Topping From Cheese Pizza,Baked Foods,14.32,16.89,8.03,40.0
Topping From Vegetable Pizza,Baked Foods,15.26,15.61,12.6,49.0
Topping From Meat Pizza,Baked Foods,24.63,19.48,6.55,41.0
Topping From Meat And Vegetable Pizza,Baked Foods,22.13,17.81,8.47,51.0
Egg Dessert Puerto Rican Style,Sweets,7.9,5.38,58.98,265.0
Zabaglione,Sweets,7.65,4.67,29.06,60.0
Meringues,Sweets,0.11,7.31,74.29,22.0
Bean Chips,Snacks,21.6,14.4,53.18,3.0
Bread Made From Home Recipe Or Purchased At A Bakery Ns As To Major Flour,Baked Foods,3.42,8.62,50.09,33.0
Bread Made From Home Recipe Or Purchased At A Bakery Toasted Ns As To Major Flour,Baked Foods,3.76,9.47,55.04,30.0
Bread White Made From Home Recipe Or Purchased At A Bakery,Baked Foods,3.42,8.62,50.09,33.0
Bread White Made From Home Recipe Or Purchased At A Bakery Toasted,Baked Foods,3.76,9.47,55.04,30.0
Bread White With Whole Wheat Swirl,Baked Foods,3.42,10.65,46.06,24.0
Bread White With Whole Wheat Swirl Toasted,Baked Foods,4.12,11.79,53.41,22.0
Bread Cuban Toasted,Baked Foods,2.66,11.81,57.01,9.0
Bread Native Water Puerto Rican Style,Baked Foods,3.26,8.78,51.98,25.0
Bread Native Water Toasted Puerto Rican Style,Baked Foods,3.58,9.65,57.12,23.0
Bread Lard Puerto Rican Style,Baked Foods,2.92,6.97,55.51,25.0
Bread Lard Toasted Puerto Rican Style,Baked Foods,3.25,7.74,61.67,23.0
Bread Caressed Puerto Rican Style,Baked Foods,4.57,7.76,49.34,25.0
Bread Caressed Toasted Puerto Rican Style,Baked Foods,5.02,8.53,54.22,23.0
Naan Indian Flatbread,Baked Foods,7.28,11.09,50.23,44.0
Bread Italian Grecian Armenian,Baked Foods,3.5,8.8,50.1,24.0
Bread Italian Grecian Armenian Toasted,Baked Foods,3.85,9.67,55.06,22.0
Bread Cheese Toasted,Baked Foods,22.89,11.45,49.26,22.0
Bread Egg Challah Toasted,Baked Foods,6.59,10.44,52.53,18.0
Garlic Bread Nfs,Baked Foods,16.58,8.34,41.64,39.0
Garlic Bread From Fast Food / Restaurant,Baked Foods,16.58,8.34,41.64,37.0
Garlic Bread With Parmesan Cheese From Fast Food / Restaurant,Baked Foods,16.8,8.74,41.09,39.0
Garlic Bread With Parmesan Cheese From Frozen,Baked Foods,16.83,8.75,41.18,39.0
Garlic Bread With Melted Cheese From Fast Food / Restaurant,Baked Foods,17.22,11.42,34.44,44.0
Garlic Bread With Melted Cheese From Frozen,Baked Foods,17.02,10.37,37.01,44.0
Bread Onion,Baked Foods,2.93,7.52,44.17,24.0
Bread Onion Toasted,Baked Foods,3.22,8.26,48.54,18.0
Bread Potato Toasted,Baked Foods,3.44,13.74,51.72,24.0
Bread Sweet Potato Toasted,Baked Foods,3.13,8.13,49.72,22.0
Bread Vegetable,Baked Foods,3.19,8.28,48.64,44.0
Bread Vegetable Toasted,Baked Foods,3.5,9.1,53.44,40.0
Bread Dough Fried,Baked Foods,18.81,8.02,44.83,26.0
Roll Cheese,Baked Foods,7.81,11.46,49.59,41.0
Roll Sweet With Fruit Frosted,Baked Foods,16.37,5.23,53.56,54.0
Roll Sweet Frosted,Baked Foods,20.06,5.49,50.92,54.0
Pan Dulce With Raisins And Icing,Baked Foods,11.4,8.28,58.56,93.0
Brioche,Baked Foods,26.82,8.74,35.86,77.0
Bread Spanish Coffee,Baked Foods,8.68,7.6,58.27,85.0
Breadsticks Nfs,Baked Foods,12.85,12.18,44.39,28.0
Breadsticks Hard Reduced Sodium,Snacks,10.63,10.64,71.63,2.0
Breadsticks Soft Nfs,Baked Foods,12.85,12.18,44.39,28.0
Breadsticks Soft From Fast Food / Restaurant,Baked Foods,12.85,12.18,44.39,26.0
Breadsticks Soft From Frozen,Baked Foods,9.06,10.86,46.46,26.0
Breadsticks Soft With Parmesan Cheese From Fast Food / Restaurant,Baked Foods,13.15,12.49,43.8,28.0
Muffin English With Raisins,Baked Foods,1.57,8.29,47.67,58.0
Muffin English Cheese,Baked Foods,3.27,9.57,42.12,58.0
Muffin English With Fruit Other Than Raisins,Baked Foods,1.8,9.31,47.63,58.0
Pannetone,Baked Foods,8.24,8.61,53.79,27.0
Bagel Whole Grain White,Baked Foods,1.53,10.2,48.89,26.0
Bread Whole Wheat Toasted,Baked Foods,3.85,13.68,46.93,22.0
Bread Whole Wheat Made From Home Recipe Or Purchased At Bakery,Baked Foods,4.09,9.21,47.44,33.0
Bread Whole Wheat Made From Home Recipe Or Purchased At Bakery Toasted,Baked Foods,4.5,10.12,52.13,30.0
Bread Puri Wheat,Baked Foods,24.55,6.21,39.25,36.0
Bread Sprouted Wheat Toasted,Baked Foods,0.0,14.46,37.23,24.0
Bagel Whole Wheat,Baked Foods,1.53,10.2,48.89,26.0
Bagel Wheat With Raisins,Baked Foods,1.42,9.49,51.92,26.0
Bagel Whole Wheat With Raisins,Baked Foods,1.42,9.49,51.92,26.0
Bagel Wheat Bran,Baked Foods,1.53,10.2,48.89,26.0
Muffin English Wheat Bran With Raisins,Baked Foods,1.85,8.14,48.24,58.0
Muffin English Wheat Or Cracked Wheat With Raisins,Baked Foods,1.86,8.19,47.92,58.0
Muffin English Whole Wheat With Raisins,Baked Foods,1.86,8.19,47.92,58.0
Breadsticks Hard Whole Wheat,Snacks,10.87,13.23,68.15,2.0
Bagel Pumpernickel,Baked Foods,1.53,10.2,48.89,26.0
Bagel Oat Bran,Baked Foods,1.53,10.2,48.89,26.0
Muffin English Oat Bran With Raisins,Baked Foods,4.01,7.87,51.57,58.0
Bagel Multigrain,Baked Foods,1.53,10.2,48.89,26.0
Bagel Multigrain With Raisins,Baked Foods,1.42,9.49,51.92,26.0
Bread Barley Toasted,Baked Foods,4.98,11.72,52.24,22.0
Injera Ethiopian Bread,Baked Foods,0.83,3.48,18.31,68.0
Bread Gluten Free Toasted,Baked Foods,5.76,4.74,50.31,22.0
Biscuit Dough Fried,Baked Foods,17.43,6.55,42.72,43.0
Crumpet,Baked Foods,5.55,7.21,28.42,20.0
Crumpet Toasted,Baked Foods,6.24,8.1,31.93,18.0
Biscuit Baking Powder Or Buttermilk Type Made From Mix,Baked Foods,11.77,7.16,46.78,14.0
Biscuit Baking Powder Or Buttermilk Type Made From Home Recipe,Baked Foods,16.34,6.98,44.64,14.0
Biscuit Whole Wheat,Baked Foods,11.97,9.37,45.93,14.0
Biscuit Cheese,Baked Foods,13.61,8.13,48.0,30.0
Biscuit Cinnamon-Raisin,Baked Foods,12.5,5.77,53.43,64.0
Scone,Baked Foods,14.86,9.15,45.17,42.0
Scone With Fruit,Baked Foods,13.39,8.55,49.86,42.0
Cornbread Made From Home Recipe,Baked Foods,9.42,6.42,42.74,11.0
Cornbread Muffin Stick Round Made From Home Recipe,Baked Foods,10.1,6.88,45.79,66.0
Corn Flour Patty Or Tart Fried,Baked Foods,4.55,3.98,41.23,10.0
Corn Pone Baked,Baked Foods,4.31,3.5,39.68,377.0
Corn Pone Fried,Baked Foods,9.78,3.34,37.79,61.0
Johnnycake,Baked Foods,7.22,7.89,43.78,49.0
Spoonbread,Baked Foods,6.88,6.65,18.52,187.0
Arepa Dominicana,Baked Foods,13.96,5.64,30.49,115.0
Muffin Whole Grain,Baked Foods,17.4,6.61,45.76,25.0
Popover,Baked Foods,8.78,10.82,34.8,31.0
Bread Nut,Baked Foods,19.24,6.49,49.72,49.0
Bread Pumpkin,Baked Foods,12.45,4.84,43.08,60.0
Bread Fruit,Baked Foods,17.33,5.96,47.37,41.0
Bread Zucchini,Baked Foods,12.66,4.92,42.51,40.0
Cake Batter Raw Chocolate,Baked Foods,13.48,4.35,40.55,14.0
Cake Batter Raw Not Chocolate,Baked Foods,11.14,3.9,41.44,15.0
Cake Or Cupcake Applesauce With Icing Or Filling,Baked Foods,25.86,3.86,46.5,75.0
Cake Or Cupcake Banana Without Icing Or Filling,Baked Foods,25.06,5.33,47.08,50.0
Cake Or Cupcake Banana With Icing Or Filling,Baked Foods,26.42,4.1,47.98,75.0
Cake Or Cupcake Carrot Without Icing Or Filling,Baked Foods,25.17,5.31,43.69,50.0
Cake Or Cupcake Carrot With Icing Or Filling,Baked Foods,26.5,4.08,45.88,75.0
Cheesecake With Fruit,Baked Foods,13.92,3.63,18.62,1704.0
Cheesecake Chocolate,Baked Foods,25.82,5.97,32.55,1533.0
Cake Or Cupcake Chocolate Devil's Food Or Fudge Without Icing Or Filling,Baked Foods,15.14,4.89,45.56,50.0
Cake Or Cupcake German Chocolate With Icing Or Filling,Baked Foods,21.92,3.85,51.49,75.0
Cake Cream Without Icing Or Topping,Baked Foods,18.72,4.87,45.94,510.0
Cake Dobos Torte,Baked Foods,17.87,3.59,55.58,1472.0
Cake Or Cupcake Gingerbread,Baked Foods,10.15,4.02,50.68,50.0
Cake Ice Cream And Cake Roll Chocolate,Baked Foods,16.28,3.49,40.67,340.0
Cake Ice Cream And Cake Roll Not Chocolate,Baked Foods,15.03,3.2,42.63,340.0
Cake Jelly Roll,Baked Foods,13.92,4.02,56.3,506.0
Cake Or Cupcake Lemon Without Icing Or Filling,Baked Foods,16.08,4.55,45.47,50.0
Cake Or Cupcake Lemon With Icing Or Filling,Baked Foods,17.39,3.44,55.0,75.0
Cake Or Cupcake Marble Without Icing Or Filling,Baked Foods,15.62,4.72,45.51,50.0
Cake Or Cupcake Marble With Icing Or Filling,Baked Foods,18.98,3.24,54.52,75.0
Cake Or Cupcake Nut Without Icing Or Filling,Baked Foods,24.7,6.54,46.11,50.0
Cake Or Cupcake Nut With Icing Or Filling,Baked Foods,20.18,4.16,53.77,75.0
Cake Or Cupcake Oatmeal,Baked Foods,12.63,3.22,63.26,50.0
Cake Or Cupcake Peanut Butter,Baked Foods,21.08,5.15,53.7,50.0
Cake Pound With Icing Or Filling,Baked Foods,15.82,3.59,62.78,1228.0
Cake Pound Chocolate,Baked Foods,18.29,5.42,61.38,909.0
Cake Pound Puerto Rican Style,Baked Foods,29.01,6.96,45.26,90.0
Cake Or Cupcake Pumpkin Without Icing Or Filling,Baked Foods,23.57,5.09,41.07,50.0
Cake Or Cupcake Pumpkin With Icing Or Filling,Baked Foods,25.38,3.98,44.05,75.0
Cake Or Cupcake Raisin-Nut,Baked Foods,21.15,6.08,52.25,50.0
Cake Ravani,Baked Foods,7.46,3.82,48.98,564.0
Cake Or Cupcake Spice Without Icing Or Filling,Baked Foods,24.24,4.93,44.82,50.0
Cake Or Cupcake Spice With Icing Or Filling,Baked Foods,25.86,3.86,46.5,75.0
Cake Sponge With Icing Or Filling,Baked Foods,8.21,3.69,68.29,1109.0
Cake Sponge Chocolate,Baked Foods,8.75,4.12,66.45,790.0
Cake Torte,Baked Foods,13.57,3.68,37.14,912.0
Cake Tres Leche,Baked Foods,8.67,6.35,41.92,1448.0
Cake Or Cupcake White Without Icing Or Filling,Baked Foods,12.97,3.8,49.64,50.0
Cake Or Cupcake Yellow Without Icing Or Filling,Baked Foods,16.08,4.55,45.47,50.0
Cake Shortcake Biscuit Type With Whipped Cream And Fruit,Baked Foods,10.43,4.02,27.84,74.0
Cake Shortcake Biscuit Type With Fruit,Baked Foods,8.73,4.24,30.95,65.0
Cake Shortcake Sponge Type With Whipped Cream And Fruit,Baked Foods,4.24,4.21,47.32,118.0
Cake Shortcake Sponge Type With Fruit,Baked Foods,2.21,4.44,52.65,102.0
Cake Shortcake With Whipped Topping And Fruit Diet,Baked Foods,4.74,3.62,40.51,94.0
Cake Or Cupcake Zucchini,Baked Foods,27.26,4.25,46.16,579.0
Cookie Batter Or Dough Raw,Baked Foods,22.18,4.8,54.19,250.0
Cookie Biscotti,Baked Foods,7.84,7.39,66.57,32.0
Cookie Brownie With Icing Or Filling,Baked Foods,16.95,2.94,63.55,40.0
Cookie Chocolate Chip Made From Home Recipe Or Purchased At A Bakery,Baked Foods,28.18,5.8,59.31,5.0
Cookie Graham Cracker With Chocolate And Marshmallow,Baked Foods,18.57,6.36,68.97,19.0
Cookie Oatmeal With Chocolate Chips,Baked Foods,20.92,5.72,67.56,5.0
Cookie Peanut Butter With Chocolate,Baked Foods,25.29,7.8,59.51,5.0
Cookie Shortbread With Icing Or Filling,Baked Foods,28.31,5.05,62.6,7.0
